K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
522-519-214,747-28-995,7.8507,9.1339,0,17.1663,0,-0.1817,,,
210-185-777,11-163-315,4.0234,4.1047,0,8.139,0,-0.0109,,,
522-950-746,436-43-924,4.0143,5.0852,0,9.0723,1,0.0272,,,
236-601-928,316-904-950,3.8076,3.1955,0,6.9967,1,0.0064,,,
402-35-652,419-26-148,4.3051,4.8451,0,9.1454,1,0.0048,,,
13-58-457,382-210-746,8.9393,6.1024,0,15.4589,0,-0.4172,,,
433-214-562,23-913-319,8.3901,8.8861,0,17.4276,0,-0.1514,,,
402-133-433,338-203-233,4.3382,4.3408,0,8.6667,1,0.0123,,,
950-439-204,180-606-358,3.2311,4.2974,0,7.5097,1,0.0188,,,
931-319-621,436-573-470,4.5755,4.3589,0,8.8806,1,0.0538,,,
21-163-317,61-336-353,24.2211,20.0125,0,32.2185,1,12.0151,,,
483-239-126,142-747-393,4.2795,5.3367,0,9.6031,1,0.0131,,,
16-306-961,704-55-652,5.5466,23.1221,0,28.9253,0,-0.2566,,,
446-304-187,433-648-148,4.3209,4.4713,0,8.8028,0,-0.0106,,,
2-972-16,123-83-522,21.5867,3.5273,0,24.3128,1,0.8012,,,
208-113-616,601-155-709,10.3568,4.3913,0,14.9559,0,-0.2078,,,
239-505-558,75-213-58,4.5497,20.8188,0,24.9302,1,0.4383,,,
402-204-331,181-439-665,3.5664,3.1199,0,6.6743,1,0.012,,,
151-185-155,59-213-950,4.2066,3.1598,0,7.3843,0,-0.0179,,,
342-58-1,417-931-429,169.9589,10.0659,0,174.5438,1,5.481,,,
179-22-972,148-73-301,23.4412,5.5991,0,28.8689,1,0.1714,,,
319-148-488,404-606-8,4.1979,24.036,0,27.8875,1,0.3464,,,
152-361-22,203-22-950,11.1236,5.1298,3.0065,13.0611,1,0.1858,,,
901-93-143,83-27-75,8.9779,21.314,0,25.7134,1,4.5785,,,
256-519-27,136-143-153,4.442,4.1652,0,8.596,1,0.0112,,,
214-931-830,298-901-400,8.5572,3.3344,0,11.8809,1,0.0107,,,
73-185-23,8-6-616,9.8645,29.1894,0,32.9992,1,6.0547,,,
209-179-143,301-221-20,22.4181,3.5901,0,24.4637,1,1.5445,,,
