K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
2-37-48,2018/8/21,5.4379,7.8017,0,12.2157,1,1.0239,,,
15-21-93,76-6-49,6.3989,5.5188,0,10.1611,1,1.7566,,,
1-67-76,37-2-33,24.8387,4.5913,0,27.8293,1,1.6007,,,
6-61-76,37-20-1,5.3412,23.9892,0,26.9575,1,2.3729,,,
20-8-67,1976/2/6,4.1907,5.7853,0,9.6413,1,0.3347,,,
1949/6/22,1933/8/6,5.4829,6.082,3.3532,8.3985,0,-0.1868,,,
93-76-8,18-61-22,3.9452,4.261,0,8.1884,1,0.0178,,,
33-76-20,37-67-15,3.3414,4.0923,0,7.3846,1,0.0491,,,
37-2-76,2008/6/2,4.6661,6.4669,2.0243,8.5805,1,0.5282,,,
1993/2/6,15-18-76,5.9053,4.2849,0,10.0814,1,0.1088,,,
22-21-37,15-37-33,6.3568,3.9115,1.7009,8.5643,1,0.0031,,,
32-18-15,2022/1/2,5.1494,24.9106,0,28.2105,1,1.8495,,,
6-37-15,1948/1/21,5.8023,26.2762,0,29.2293,1,2.8492,,,
18-61-28,1-21-48,4.7213,26.2318,0,30.5962,1,0.3569,,,
33-61-8,18-2-93,4.0975,4.9327,0,9.1071,0,-0.0769,,,
20-15-2,2-67-6,4.3218,5.8631,2.0101,8.0877,1,0.0871,,,
32-76-93,18-67-2,4.0856,5.092,0,8.9262,1,0.2514,,,
21-49-28,67-76-6,6.7642,5.3075,0,10.4824,1,1.5893,,,
18-32-1,22-18-32,25.0614,4.9688,3.8639,26.1802,0,-0.0139,,,
1-61-67,76-22-61,24.7887,3.3074,1.2107,26.9626,0,-0.0772,,,
22-76-6,21-61-1,5.2682,25.5046,0,28.4227,1,2.3501,,,
2-18-67,32-93-22,5.1294,4.0539,0,8.9141,1,0.2692,,,
32-28-37,93-48-33,5.0149,4.0366,0,9.0115,1,0.04,,,
32-49-20,67-15-21,4.3355,6.4561,0,10.0146,1,0.777,,,
15-1-61,18-20-21,24.8431,7.1385,0,28.7288,1,3.2528,,,
76-48-67,21-61-8,3.3713,6.9643,0,10.2067,1,0.1289,,,
21-1-93,2020/8/22,25.4592,4.1838,0,27.2186,1,2.4244,,,
6-67-18,49-76-8,6.4453,4.1622,0,10.2669,1,0.3406,,,
1-48-20,61-28-93,24.8533,3.8187,0,28.2912,1,0.3808,,,
28-61-48,61-28-8,4.7128,4.5713,2.7562,6.5711,0,-0.0432,,,
32-22-21,2022/6/8,6.4089,6.1054,1.1014,9.5982,1,1.8147,,,
33-6-67,49-33-32,5.4997,4.1476,1.0276,7.8397,1,0.78,,,
33-49-20,8-37-15,3.4951,4.8172,0,8.1939,1,0.1184,,,
33-22-76,6-28-20,3.2043,6.038,0,9.107,1,0.1353,,,
6-20-33,8-21-22,5.4862,6.8188,0,10.7182,1,1.5868,,,
48-67-37,61-32-33,4.0144,4.3062,0,7.9067,1,0.4139,,,
2028/2/15,37-21-18,4.7956,7.1396,0,11.4444,1,0.4908,,,
6-61-37,18-20-76,5.5701,4.2456,0,9.597,1,0.2187,,,
18-93-37,18-37-32,4.7488,5.339,3.699,6.4101,0,-0.0213,,,
18-48-21,37-67-18,7.9664,4.7857,1.9422,9.5446,1,1.2653,,,
22-20-61,37-15-32,3.5594,4.7633,0,8.1708,1,0.1519,,,
1-76-28,2002/8/28,25.1696,5.3132,1.5354,26.5677,1,2.3797,,,
61-48-22,1933/6/1,4.3137,24.7222,0,28.6011,1,0.4348,,,
6-22-76,61-37-22,5.4761,3.9913,1.1002,7.5808,1,0.7864,,,
76-61-1,61-21-76,24.8029,6.1472,2.2318,26.4703,1,2.248,,,
49-67-21,1948/8/15,6.3178,5.0837,0,10.453,1,0.9485,,,
8-67-32,1937/6/18,4.8628,6.3925,0,10.5883,1,0.667,,,
67-61-37,1961/1/20,4.0514,24.0718,1.2511,26.1372,1,0.7349,,,
32-18-6,21-67-8,6.6951,6.7553,0,11.6385,1,1.8119,,,
20-2-61,32-28-49,4.1732,4.6733,0,8.6578,1,0.1887,,,
18-33-21,76-22-18,7.1211,4.1256,1.95,9.1433,1,0.1534,,,
32-93-37,37-67-28,4.5322,4.3535,1.7177,7.0502,1,0.1178,,,
93-20-8,21-67-18,4.123,7.1374,0,11.0125,1,0.2479,,,
8-22-18,33-20-32,4.905,4.1952,0,9.0269,1,0.0733,,,
61-76-32,20-32-61,4.1323,4.3198,3.1538,5.3401,0,-0.0418,,,
37-76-22,22-6-33,3.8574,5.4985,1.105,7.6059,1,0.645,,,
37-49-33,22-37-1,3.9735,24.8551,1.6576,26.1614,1,1.0096,,,
21-20-48,6-61-8,7.1804,6.0956,0,11.5604,1,1.7156,,,
21-2-32,15-67-32,6.8753,4.3612,1.9437,9.1895,1,0.1033,,,
49-67-15,1-18-28,3.5954,26.0886,0,28.4781,1,1.2059,,,
22-20-2,28-15-2,4.0447,4.8176,1.9508,6.8408,1,0.0707,,,
6-93-2,61-93-18,5.8849,4.1997,1.0307,8.7747,1,0.2792,,,
1961/1/28,2006/8/18,25.1729,6.9325,0,28.4642,1,3.6412,,,
20-32-18,33-93-2,5.174,4.1031,0,8.7511,1,0.526,,,
